dataset,root,data_split,filename,size,duration,fps,anno_type,annotation,bool_file,bool_anno_file
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03323.mp4,"[1080, 606]",1.875,24.0,category,Contempt,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/08080.mp4,"[864, 486]",5.36,25.0,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03955.mp4,"[1280, 720]",2.569576,29.966033966033965,category,Neutral,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/01757.mp4,"[1280, 640]",7.25725,23.976023976023978,category,Neutral,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03911.mp4,"[1280, 720]",2.84,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/05162.mp4,"[1280, 720]",3.23399,29.997,category,Contempt,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/20028.mp4,"[718, 576]",3.32,25.0,category,Anger,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03667.mp4,"[1280, 720]",1.833333,24.0,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/09170.mp4,"[1920, 1080]",2.4024,29.97002997002997,category,Disgust,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/01887.mp4,"[1920, 1080]",3.4,25.0,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/07257.mp4,"[960, 410]",3.88,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/07901.mp4,"[1280, 720]",7.2,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/09275.mp4,"[1280, 720]",3.266633,30.0,category,Disgust,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/04080.mp4,"[1280, 720]",3.32,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/02960.mp4,"[1280, 720]",3.083333,24.0,category,Surprise,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/09058.mp4,"[1920, 1080]",2.936267,29.97002997002997,category,Sadness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/07338.mp4,"[960, 540]",1.8,25.0,category,Anger,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/09676.mp4,"[1280, 576]",1.2333,30.0,category,Anger,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/10876.mp4,"[1920, 816]",4.96,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,5-fold_cross-validation_check_/datasets/MAFW/Train & Test Set,./datasets/MAFW/data/clips/08544.mp4,"[1280, 720]",0.368035,29.97,category,False,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/09765.mp4,"[1280, 720]",3.170003,23.976,category,Fear,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/11129.mp4,"[1920, 1040]",3.0,24.0,category,Surprise,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/15244.mp4,"[1280, 544]",11.48,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/02527.mp4,"[1920, 1072]",7.758008,23.976,category,Sadness,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/08109.mp4,"[1920, 1080]",3.303971,29.97,category,Surprise,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/07721.mp4,"[1280, 720]",8.12,25.0,category,Sadness,True,False
MAFW,./datasets/MAFW,5-fold_cross-validation_check_/datasets/MAFW/Train & Test Set,./datasets/MAFW/data/clips/03710.mp4,"[1280, 720]",2.127125,23.976023976023978,category,False,True,False
MAFW,./datasets/MAFW,5-fold_cross-validation_check_/datasets/MAFW/Train & Test Set,./datasets/MAFW/data/clips/00321.mp4,"[1280, 720]",3.166667,24.0,category,False,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/07978.mp4,"[1080, 606]",1.968633,29.97002997002997,category,Anger,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/04390.mp4,"[1920, 1080]",2.04,25.0,category,Neutral,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/15051.mp4,"[1280, 640]",3.36,25.0,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/04776.mp4,"[640, 360]",3.733333,30.0,category,Happiness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/15594.mp4,"[1280, 720]",2.0,25.0,category,Fear,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/08284.mp4,"[1280, 720]",2.5025,29.97002997002997,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/02805.mp4,"[720, 400]",2.461003,23.976,category,Helplessness,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/04376.mp4,"[1920, 1080]",2.125,24.0,category,Happiness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/02335.mp4,"[558, 570]",2.416667,24.0,category,Happiness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/10664.mp4,"[1280, 688]",2.503003,23.976,category,Fear,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03141.mp4,"[1280, 720]",2.625,24.0,category,Sadness,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/03935.mp4,"[1280, 720]",2.127125,23.976023976023978,category,Surprise,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/00554.mp4,"[1280, 720]",8.259009,23.976,category,Anxiety,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/20001.mp4,"[720, 428]",2.32,25.0,category,Disgust,True,False
MAFW,./datasets/MAFW,test,./datasets/MAFW/data/clips/08359.mp4,"[1280, 720]",4.004,23.976023976023978,category,Surprise,True,False
MAFW,./datasets/MAFW,train,./datasets/MAFW/data/clips/02654.mp4,"[1280, 720]",8.08,25.0,category,Fear,True,False
